"site_code","Site","Date","Turbidity","TSS","ChlA","TOC","TN","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","Field_DO_mgL","Field_Cond_µS_cm","Field_Temp_C","Lat","Long","Campaign","watershed","location_type","WQ_sensor","flow_gauge_source","flow_gauge_id","distance_upstream_km","Watershed_Level","Buffer_Level","FCW_number","ROSS_number","chla_volume_ml","Year","time_mst","DT_mst_char","data_source"
"CHD","Chambers Outflow",2021-04-26,1.5,0,,,,3.03,0.36,6.99,505.86,56.8,2.55,0.02,0.97,1.36,6.74,0.06,0.75,0.04,0,2.5,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,282,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-04-26,15,6.67,,,,10.51,1,7.14,444.5,51.04,3.15,0.09,0.91,0.78,5.66,0.03,0.76,0.11,0,1.95,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,283,,,2021,,,"ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2021-04-26,,,,,,3.6,0.24,7.2,537.61,54.07,1.75,0.02,0.81,1.34,5.79,0.05,0.92,0.06,0,2.5,,,,40.61988,-105.81937,"Chambers Complex","CLP Mainstem - Upper","Mainstem",,,,80.916,,,284,,,2021,,,"ROSS"
"PJW","Poudre Above Joe Wright",2021-04-26,,0,,,,4.37,0.65,6.97,340.96,40.27,2.1,0.01,0.99,1.07,3.98,0.1,0.71,0.34,0,2.27,,,,40.634114,-105.807264,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,80.916,,,285,,,2021,,,"ROSS"
"PBR","Poudre Below Rustic",2021-04-26,,,,,,3.78,0.22,7.63,623.79,63.29,2.78,0.01,0.91,1.82,5.35,0.06,1.38,0.12,0,2.91,,,,40.700221,-105.544028,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV","Fort Collins",,47.262,,,287,,,2021,,,"ROSS"
"SFM","Poudre South Fork",2021-04-26,,,,,,4.62,0.4,7.25,382.84,51.62,2.91,0.01,0.86,1.24,4.88,0.07,0.8,0.59,0,3.65,,,,40.61825,-105.525583,"South Fork","CLP Mainstem - Upper","Mainstem","ROSS","Larimer County","11531",53.476,,,289,,,2021,,,"ROSS"
"PSF","Poudre Below S. Fork",2021-04-26,,,,,,4.48,0.22,7.55,484.99,58.75,2.94,0.01,0.84,1.78,5.95,0.11,1.45,0.12,0,3.2,,,,40.694953,-105.448748,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,33.951,,,290,,,2021,,,"ROSS"
"PNF","Poudre Above North Fork",2021-04-26,,,,,,5.58,0.33,7.48,708.45,97.46,4.25,0.01,1.01,1.92,10.55,0.1,3.01,0.48,0,5.34,,,,40.702459,-105.241588,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV",,,7.471,,,292,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-05-03,1.6,2.2,,,,5.23,0.52,7.36,112.21,49.14,1.84,0.01,0.85,1.01,4.85,0.06,0.59,0.8,0,13.72,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,321,,,2021,09:37:00,"2021-05-03 09:37:00","ROSS"
"CHD","Chambers Outflow",2021-05-03,1,0.11,,,,2.96,0.28,7.1,470.21,64.36,2.33,0.02,0.84,1.34,6.04,0.07,0.99,0.26,0,8.42,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,322,,,2021,10:00:00,"2021-05-03 10:00:00","ROSS"
"BMD","Barnes Meadow Outflow",2021-05-03,9,8.21,,,,10.05,0.73,7.01,142.61,56.42,3.06,0.08,0.92,0.76,5.44,0.06,1.38,0.12,0,14.54,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,323,,,2021,10:20:00,"2021-05-03 10:20:00","ROSS"
"SFM","Poudre South Fork",2021-05-03,,,,,,7.41,0.5,7.17,386.67,61.05,1.8,0.01,0.74,1.29,5.01,0.14,1.94,0.45,0,11.58,,,,40.61825,-105.525583,"South Fork","CLP Mainstem - Upper","Mainstem","ROSS","Larimer County","11531",53.476,,,328,,,2021,12:15:00,"2021-05-03 12:15:00","ROSS"
"PSF","Poudre Below S. Fork",2021-05-03,,,,,,7,0.45,7.35,514.77,72.28,2.54,0.02,0.87,1.69,6.09,0.11,2.26,0.5,0,12.9,,,,40.694953,-105.448748,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,33.951,,,329,,,2021,12:51:00,"2021-05-03 12:51:00","ROSS"
"PNF","Poudre Above North Fork",2021-05-03,,,,,,7.51,0.48,7.41,568.64,95.41,3.22,0.01,0.95,1.93,10.29,0.17,5.02,0.58,0,12.1,,,,40.702459,-105.241588,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV",,,7.471,,,332,,,2021,13:45:00,"2021-05-03 13:45:00","ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2021-05-03,,,,,,5.85,0.8,7.28,501.23,80.42,1.49,0.02,0.94,1.42,7.23,0.07,4.73,0.16,0,14.47,,,,40.61988,-105.81937,"Chambers Complex","CLP Mainstem - Upper","Mainstem",,,,80.916,,,324,,,2021,,,"ROSS"
"PJW","Poudre Above Joe Wright",2021-05-03,3,3,,,,6.62,0.53,7.07,269.79,56.5,1.85,0.01,0.87,1.01,4.32,0.07,1.83,0.62,0,13.13,,,,40.634114,-105.807264,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,80.916,,,325,,,2021,,,"ROSS"
"PBR","Poudre Below Rustic",2021-05-03,,,,,,6.4,0.51,7.3,475.88,73.28,2.4,0.01,0.88,1.74,6.2,0.08,2.45,0.48,0,14.19,,,,40.700221,-105.544028,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV","Fort Collins",,47.262,,,327,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-05-10,1.75,1,,,,4.2,0.39,7.16,469.68,65.04,1.46,0.01,0.83,1.06,6.19,0.06,2.15,0.74,0.1,11.22,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,345,,,2021,,,"ROSS"
"CHD","Chambers Outflow",2021-05-10,1.25,2,,,,3.34,0.34,7.02,465.58,62.25,1.01,0.02,0.77,1.16,5.74,0.06,1.53,0.66,0.05,9.4,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,346,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-05-10,5.5,8,,,,9.28,0.66,7.14,702.12,97.33,1.31,0.08,1.07,1.5,9.59,0.05,2.37,0.35,0.09,23.68,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,347,,,2021,,,"ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2021-05-10,,,,,,5.98,0.46,7.59,520.87,90.36,1.33,0.02,1.09,1.56,9.9,0.06,4.68,0.07,0.04,13.79,,,,40.61988,-105.81937,"Chambers Complex","CLP Mainstem - Upper","Mainstem",,,,80.916,,,348,,,2021,,,"ROSS"
"PJW","Poudre Above Joe Wright",2021-05-10,2.4,2,,,,5.99,0.46,7.27,259.18,53.96,1.44,0.03,0.74,1.04,4.77,0.07,1.38,0.69,0.05,11.89,,,,40.634114,-105.807264,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,80.916,,,349,,,2021,,,"ROSS"
"PBR","Poudre Below Rustic",2021-05-10,,,,,,5.82,0.38,7.55,480.16,74.17,2.32,0.02,0.84,1.55,6.18,0.07,3.01,0.48,0.06,13.8,,,,40.700221,-105.544028,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV","Fort Collins",,47.262,,,352,,,2021,,,"ROSS"
"SFM","Poudre South Fork",2021-05-10,,,,,,6.58,0.53,8.04,483.69,59.35,1.76,0.02,0.68,1.31,5.08,0.13,1.46,0.41,0.07,10.98,,,,40.61825,-105.525583,"South Fork","CLP Mainstem - Upper","Mainstem","ROSS","Larimer County","11531",53.476,,,353,,,2021,,,"ROSS"
"PSF","Poudre Below S. Fork",2021-05-10,,,,,,5.68,0.39,7.29,484.91,70.93,1.99,0.02,0.83,1.58,6.22,0.1,2.01,0.47,0.07,12.95,,,,40.694953,-105.448748,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,33.951,,,354,,,2021,,,"ROSS"
"PNF","Poudre Above North Fork",2021-05-10,,,,,,6.43,0.43,7.46,639.51,87.2,1.98,0.01,0.9,1.76,7.09,0.16,4.54,0.57,0.05,12.23,,,,40.702459,-105.241588,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV",,,7.471,,,356,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-05-17,0.8,0,,,,4.82,0.46,7.44,445.48,65.93,1.5,0.01,1.03,1.51,7.82,0.05,1.49,0.8,0.31,11.04,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,381,,,2021,09:30:00,"2021-05-17 09:30:00","ROSS"
"BMD","Barnes Meadow Outflow",2021-05-17,3.4,7.92,,,,9.61,0.8,7.77,795.89,103.53,1.85,0.21,1.33,1.83,10.98,0.05,1.99,0.56,0.33,26.93,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,383,,,2021,09:30:00,"2021-05-17 09:30:00","ROSS"
"PBR","Poudre Below Rustic",2021-05-17,,,,,,5.74,0.41,7.31,379.75,65.89,1.93,0.03,0.98,1.54,6.12,0.06,1.93,0.3,0.03,11.79,,,,40.700221,-105.544028,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV","Fort Collins",,47.262,,,388,,,2021,11:20:00,"2021-05-17 11:20:00","ROSS"
"SFM","Poudre South Fork",2021-05-17,,,,,,7.17,0.44,7.21,290.74,51.9,1.7,0.02,0.82,1.32,4.99,0.11,1.12,0.36,0.03,9.33,,,,40.61825,-105.525583,"South Fork","CLP Mainstem - Upper","Mainstem","ROSS","Larimer County","11531",53.476,,,389,,,2021,12:00:00,"2021-05-17 12:00:00","ROSS"
"PSF","Poudre Below S. Fork",2021-05-17,,,,,,6.21,0.37,7.36,383.2,65.93,1.85,0.02,0.97,1.59,6.18,0.08,1.98,0.28,0,11.25,,,,40.694953,-105.448748,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,33.951,,,390,,,2021,12:55:00,"2021-05-17 12:55:00","ROSS"
"PNF","Poudre Above North Fork",2021-05-17,,,,,,6.34,0.39,7.48,489.53,73.92,2.21,0.02,0.98,1.74,6.96,0.12,2.92,0.39,0,11.07,,,,40.702459,-105.241588,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV",,,7.471,,,392,,,2021,13:45:00,"2021-05-17 13:45:00","ROSS"
"CHD","Chambers Outflow",2021-05-17,3,8,,,,4.2,0.36,7.46,484.32,64.08,1.47,0.03,0.93,1.29,6.07,0.05,1.66,0.51,0.27,8.52,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,382,,,2021,,,"ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2021-05-17,,,,,,7.79,0.3,7.46,462.82,88.69,2.37,0.01,1.02,1.64,7.61,0.05,4.42,0.04,0.03,19.48,,,,40.61988,-105.81937,"Chambers Complex","CLP Mainstem - Upper","Mainstem",,,,80.916,,,384,,,2021,,,"ROSS"
"PJW","Poudre Above Joe Wright",2021-05-17,2.5,8.91,,,,5.97,0.43,7.13,204.82,47.86,1.15,0.03,0.82,1.14,4.83,0.05,1.16,0.71,0.03,10.62,,,,40.634114,-105.807264,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,80.916,,,385,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-05-24,1,1.98,,,,5.06,0.4,7.17,422.3,77.79,2.06,0.02,1.2,2.35,9.21,0.09,1.83,0.79,0.43,12.89,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,394,,,2021,09:30:00,"2021-05-24 09:30:00","ROSS"
"CHD","Chambers Outflow",2021-05-24,1.9,0,,,,4.62,0.45,7.18,443.67,64.14,1.97,0.02,0.92,2.02,7.22,0.09,1.02,0.52,0.28,10.45,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,395,,,2021,09:50:00,"2021-05-24 09:50:00","ROSS"
"BMD","Barnes Meadow Outflow",2021-05-24,2.1,2,,,,7.59,0.48,6.89,491.76,84.37,2.43,0.1,1.25,1.65,10.52,0.03,1.54,0.24,0,12.67,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,396,,,2021,10:00:00,"2021-05-24 10:00:00","ROSS"
"PJW","Poudre Above Joe Wright",2021-05-24,1.5,4.1,,,,7.71,0.5,6.89,215.62,40.11,1.33,0.06,0.88,1.02,4.49,0.06,0.69,0.79,0,6.43,,,,40.634114,-105.807264,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,80.916,,,398,,,2021,10:40:00,"2021-05-24 10:40:00","ROSS"
"PBR","Poudre Below Rustic",2021-05-24,,,,,,5.98,0.4,7.07,319.19,59.85,2.07,0.08,1.06,1.51,6.39,0.06,1.39,0.49,0,8.12,,,,40.700221,-105.544028,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV","Fort Collins",,47.262,,,400,,,2021,11:35:00,"2021-05-24 11:35:00","ROSS"
"SFM","Poudre South Fork",2021-05-24,,,,,,8.34,0.42,7.02,263.62,44.81,2.05,0.04,0.85,1.23,4.89,0.09,0.74,0.43,0,6.67,,,,40.61825,-105.525583,"South Fork","CLP Mainstem - Upper","Mainstem","ROSS","Larimer County","11531",53.476,,,401,,,2021,12:20:00,"2021-05-24 12:20:00","ROSS"
"PSF","Poudre Below S. Fork",2021-05-24,,,,,,6.45,0.42,7.09,330.56,56.35,2.22,0.06,1.02,1.56,6.49,0.06,1.1,0.47,0,8.02,,,,40.694953,-105.448748,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,33.951,,,402,,,2021,13:00:00,"2021-05-24 13:00:00","ROSS"
"PNF","Poudre Above North Fork",2021-05-24,,,,,,7.22,0.47,7.91,517.13,72.27,2.69,0.03,1.03,1.75,7.3,0.08,1.94,0.49,0,8.14,,,,40.702459,-105.241588,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV",,,7.471,,,404,,,2021,14:00:00,"2021-05-24 14:00:00","ROSS"
"CBRI","Chambers Inlet",2021-06-01,2.5,4,,,,5.32,0.47,7.24,380.57,47.78,1.84,0.02,0.89,1.1,6.25,0.04,0.75,0.45,0.01,5.36,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,425,,,2021,10:45:00,"2021-06-01 10:45:00","ROSS"
"BMD","Barnes Meadow Outflow",2021-06-01,3.5,4,,,,7.64,0.4,6.99,446.33,75.68,2.26,0.05,1.19,1.52,9.75,0.03,1.41,0.22,0,11.24,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,427,,,2021,11:00:00,"2021-06-01 11:00:00","ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2021-06-01,,,,,,5.26,0.41,7.29,474.41,62.97,1.85,0.04,1.03,1.44,7.12,0.04,1.07,0.21,0,7.23,,,,40.61988,-105.81937,"Chambers Complex","CLP Mainstem - Upper","Mainstem",,,,80.916,,,428,,,2021,11:20:00,"2021-06-01 11:20:00","ROSS"
"PJW","Poudre Above Joe Wright",2021-06-01,2.4,0,,,,7.99,0.47,7.05,135.12,27.16,1.19,0.02,0.66,0.78,3.58,0.05,0.53,0.51,0,4.18,,,,40.634114,-105.807264,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,80.916,,,429,,,2021,11:30:00,"2021-06-01 11:30:00","ROSS"
"PBR","Poudre Below Rustic",2021-06-01,,,,,,6.4,0.41,7.11,290.44,46.04,1.76,0.03,0.81,1.18,4.96,0.05,1.38,0.23,0,5.47,,,,40.700221,-105.544028,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV","Fort Collins",,47.262,,,431,,,2021,12:20:00,"2021-06-01 12:20:00","ROSS"
"SFM","Poudre South Fork",2021-06-01,,,,,,6.87,0.42,7,225.56,37.69,1.9,0.01,0.65,0.96,3.9,0.09,0.9,0.26,0,4.78,,,,40.61825,-105.525583,"South Fork","CLP Mainstem - Upper","Mainstem","ROSS","Larimer County","11531",53.476,,,433,,,2021,13:00:00,"2021-06-01 13:00:00","ROSS"
"PSF","Poudre Below S. Fork",2021-06-01,,,,,,6.14,0.38,7.17,319.6,46.87,1.99,0.02,0.82,1.28,5.22,0.06,1.44,0.21,0,5.67,,,,40.694953,-105.448748,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,33.951,,,434,,,2021,13:20:00,"2021-06-01 13:20:00","ROSS"
"PNF","Poudre Above North Fork",2021-06-01,,,,,,6.26,0.38,7.19,435.65,57.47,2.4,0.03,0.82,1.45,6,0.08,1.54,0.24,0,5.72,,,,40.702459,-105.241588,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV",,,7.471,,,436,,,2021,14:20:00,"2021-06-01 14:20:00","ROSS"
"CHD","Chambers Outflow",2021-06-01,2,0,,,,4.03,0.36,7.17,436.78,64.81,1.71,0.03,0.98,1.43,7.03,0.04,1.01,0.37,0,6.71,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,426,,,2021,,,"ROSS"
"LNGR","Long Draw Reservoir",2021-06-02,,1,0.27,,,9.45,0.59,6.77,157.14,27.29,0.86,0.03,0.53,0.7,4.04,0.09,0.32,0.4,0,2.97,,,,40.50087627,-105.7725307,"Longdraw","Long Draw Reservoir","Reservoir",,,,100.445,0,0,442,,,2021,,,"ROSS"
"LNGO","Long Draw Outflow",2021-06-02,,0,0.04,,,8.93,0.6,6.59,88.64,19.78,0.9,0.03,0.44,0.51,2.16,0.02,0.52,0.52,0,1.53,,,,40.50368571,-105.7709459,"Longdraw","Long Draw Reservoir","Outflow",,"CDWR","LAPLODCO",98.705,0,0,443,,,2021,,,"ROSS"
"PTRR","Peterson Reservoir",2021-06-02,,0,1.54,,,7.02,0.65,6.82,169.77,41.8,1.49,0.11,1.35,0.82,4.97,0.03,0.88,0.32,0,7.85,,,,40.55936515,-105.7940034,"Longdraw","Peterson Reservoir","Reservoir",,,,91.236,0.3055062638172439,0.32090379008746356,444,,,2021,,,"ROSS"
"JOEI","Joe Wright Inlet",2021-06-02,,1.77,0.14,,,4.37,0.36,6.99,275.59,32.21,1.22,0.02,0.4,1.16,4.2,0.02,1.02,0.02,0,1.35,,,,40.54013102,-105.8831698,"Chambers Complex","Joe Wright Reservoir","Inflow","ROSS","USGS","6746095",95.264,0,0.006530548628428928,445,,,2021,,,"ROSS"
"JOER","Joe Wright Reservoir",2021-06-02,,0,0.37,,,3.05,0.39,7.01,379.11,43.77,1.41,0.05,0.63,1.27,5.85,0.06,0.72,0.1,0,3.6,,,,40.55593744,-105.8749619,"Chambers Complex","Joe Wright Reservoir","Reservoir",,,,93.218,0.048734263332836585,0.006530548628428928,446,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-06-02,,1.79,0.21,,,4.23,0.46,7.12,321.42,46.12,2.06,0.02,0.58,0.95,6.37,0.06,0.48,0.38,0,3.01,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,447,,,2021,,,"ROSS"
"BMD","Barnes Meadow Outflow",2021-06-02,,7.38,1.04,,,7.38,0.55,7.17,355.03,69.65,2.33,0.06,1.24,1.51,9.55,0.03,1.41,0.16,0,11.59,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,448,,,2021,,,"ROSS"
"BRNR","Barnes Meadow Reservoir",2021-06-02,,1.79,1.45,,,7.34,0.46,7.21,386.18,68.37,2.3,0.05,1.23,1.51,9.81,0.03,1.44,0.02,0,11.42,,,,40.599908,-105.830604,"Chambers Complex","Barnes Meadow Reservoir","Reservoir",,,,85.149,0.4490768485927012,0.1845300397739167,449,,,2021,,,"ROSS"
"CHD","Chambers Outflow",2021-06-02,,0,2.1,,,3.73,0.45,7.23,378.79,58.52,1.69,0.02,1.01,1.43,7.21,0.04,0.92,0.28,0,6.65,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,450,,,2021,,,"ROSS"
"CBRR","Chambers Reservoir",2021-06-02,,3.72,2.64,,,3.9,0.42,7.2,349.32,54.44,1.71,0.04,1,1.38,7.13,0.04,0.91,0.19,0,6.47,,,,40.603457,-105.845931,"Chambers Complex","Chambers Reservoir","Reservoir",,,"na",87.814,0.19135067209931075,0.3299053356282272,452,,,2021,,,"ROSS"
"CBRI","Chambers Inlet",2021-06-07,5,,,,,3.99,0.36,6.81,304.73,44.7,1.42,0.05,0.62,1.49,5.85,0.06,0.64,0.35,0,3.39,,,,40.57795281,-105.8572773,"Chambers Complex","Chambers Reservoir","Inflow","ROSS","USGS","6746110",90.13,0.11067457970644089,0.3299053356282272,453,,,2021,11:25:00,"2021-06-07 11:25:00","ROSS"
"CHD","Chambers Outflow",2021-06-07,3.75,,,,,3.88,0.46,6.93,375.91,51.22,1.68,0.08,0.94,1.24,6.28,0.04,0.91,0.25,0,5.84,,,,40.60233229,-105.8427286,"Chambers Complex","Chambers Reservoir","Outflow","ROSS","CDWR","JWCCHACO",86.049,0.19135067209931075,0.3299053356282272,454,,,2021,11:45:00,"2021-06-07 11:45:00","ROSS"
"BMD","Barnes Meadow Outflow",2021-06-07,4,,,,,7.42,0.54,6.86,395.63,75.49,2.28,0.06,1.17,1.45,10.19,0.03,1.44,0.1,0,11.39,,,,40.600376,-105.836378,"Chambers Complex","Barnes Meadow Reservoir","Outflow",,"Greeley",,84.049,0.4490768485927012,0.1845300397739167,455,,,2021,11:55:00,"2021-06-07 11:55:00","ROSS"
"JWC","JWC-Joe Wright @ Aspen Glen Campground",2021-06-07,,,,,,4.05,0.52,6.93,374.62,54.05,1.61,0.05,0.92,1.26,6.3,0.04,0.9,0.26,0,6.03,,,,40.61988,-105.81937,"Chambers Complex","CLP Mainstem - Upper","Mainstem",,,,80.916,,,456,,,2021,12:05:00,"2021-06-07 12:05:00","ROSS"
"PJW","Poudre Above Joe Wright",2021-06-07,4.75,,,,,7.14,0.59,6.67,138.15,26.6,1.07,0.03,0.51,0.59,3.36,0.08,0.38,0.59,0,3,,,,40.634114,-105.807264,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,80.916,,,457,,,2021,12:10:00,"2021-06-07 12:10:00","ROSS"
"PBR","Poudre Below Rustic",2021-06-07,,,,,,5.69,0.48,6.85,224.31,36.4,1.51,0.03,0.66,0.92,3.99,0.06,0.69,0.34,0,4.1,,,,40.700221,-105.544028,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV","Fort Collins",,47.262,,,459,,,2021,12:45:00,"2021-06-07 12:45:00","ROSS"
"SFM","Poudre South Fork",2021-06-07,,,,,,7.5,0.48,6.69,156.73,25.64,1.31,0.03,0.49,0.59,2.55,0.09,0.46,0.34,0,2.8,,,,40.61825,-105.525583,"South Fork","CLP Mainstem - Upper","Mainstem","ROSS","Larimer County","11531",53.476,,,460,,,2021,13:25:00,"2021-06-07 13:25:00","ROSS"
"PSF","Poudre Below S. Fork",2021-06-07,,,,,,6.53,0.62,6.83,239.44,39.37,1.62,0.03,0.68,0.93,4.04,0.07,0.75,0.33,0,4.05,,,,40.694953,-105.448748,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem",,,,33.951,,,461,,,2021,14:00:00,"2021-06-07 14:00:00","ROSS"
"PNF","Poudre Above North Fork",2021-06-07,,,,,,6.5,0.56,6.84,283.3,43.52,1.92,0.03,0.7,1.08,4.58,0.08,1.13,0.39,0,4.18,,,,40.702459,-105.241588,"Mainstem - Upper","CLP Mainstem - Upper","Mainstem","FCGOV",,,7.471,,,463,,,2021,14:30:00,"2021-06-07 14:30:00","ROSS"
"LNGR","Long Draw Reservoir",2021-06-09,4.1,1,0.48,,,5.28,0.53,6.69,175.94,30.63,0.8,0.02,0.48,0.71,4.62,0.11,0.55,0.53,0,3.1,,,,40.50087627,-105.7725307,"Longdraw","Long Draw Reservoir","Reservoir",,,,100.445,0,0,481,,,2021,,,"ROSS"
"LNGO","Long Draw Outflow",2021-06-09,3,0,0.64,,,4.32,0.53,6.82,218.84,33.55,0.81,0,0.48,0.76,4.79,0.09,0.34,0.52,0,3.5,,,,40.50368571,-105.7709459,"Longdraw","Long Draw Reservoir","Outflow",,"CDWR","LAPLODCO",98.705,0,0,482,,,2021,,,"ROSS"
"PTRO","Peterson Outflow",2021-06-09,2.5,3,4.6,,,7.14,0.44,6.79,163.76,41.51,1.39,0.01,1.22,0.86,5.65,0.01,0.68,0.01,0,6.52,,,,40.56063874,-105.7929021,"Longdraw","Peterson Reservoir","Outflow",,"Greeley",,91.236,0.3055062638172439,0.32090379008746356,483,,,2021,,,"ROSS"
"PTRR","Peterson Reservoir",2021-06-09,3.4,6,4.79,,,7,0.48,6.8,178.19,39.37,1.37,0.01,1.19,0.77,5.05,0.03,0.67,0.01,0,6.61,,,,40.55936515,-105.7940034,"Longdraw","Peterson Reservoir","Reservoir",,,,91.236,0.3055062638172439,0.32090379008746356,484,,,2021,,,"ROSS"
"JOEI","Joe Wright Inlet",2021-06-09,3.9,2,0.18,,,4.38,0.33,6.96,269.76,32.2,1.07,0,0.49,1,4.33,0.06,0.26,0.18,0,1.98,,,,40.54013102,-105.8831698,"Chambers Complex","Joe Wright Reservoir","Inflow","ROSS","USGS","6746095",95.264,0,0.006530548628428928,485,,,2021,,,"ROSS"
"JOER","Joe Wright Reservoir",2021-06-09,3,1,0.47,,,3.61,0.34,6.97,371.16,45.22,1.41,0,0.59,1.26,5.83,0.03,0.53,0.04,0,3.22,,,,40.55593744,-105.8749619,"Chambers Complex","Joe Wright Reservoir","Reservoir",,,,93.218,0.048734263332836585,0.006530548628428928,486,,,2021,,,"ROSS"
